facility_id,zipcode,program_type,facility_name,total_capacity,under5_capacity,preschool_capacity,school_age_capacity,children_capacity,latitude,longitude,m1_max_expand,m1_unit_cost,m2_max_expand,m2_tier1_cap,m2_tier2_cap,m2_tier3_cap,m2_ucost_t1,m2_ucost_t2,m2_ucost_t3
434252,10452,FDC,"Severino, Alexsa",7,5,0,2,5,40.8376,-73.9216,8.4,3057.1428571428573,1.4000000000000001,0.7000000000000001,1.05,1.4000000000000001,3057.1428571428573,3257.1428571428573,3857.1428571428573
378047,11225,GFDC,Alistars Play Place,16,12,0,4,12,40.66575,-73.955458,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
125354,11385,GFDC,"Pazmino De Chico, Piedad",16,12,0,4,12,40.69585,-73.891985,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
573635,10468,GFDC,BLUE STAR GROUP NETWORK INC,16,12,0,4,12,40.875861,-73.886327,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
876851,11385,GFDC,JAS MALGOSIA FAMILY INC.,16,12,0,4,12,40.712626,-73.911618,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
858758,10457,GFDC,"Polanco, Ana",16,12,0,4,12,40.842716,-73.892266,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
71190,10025,GFDC,"Rosner, Elaine",16,12,0,4,12,40.790056,-73.968408,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
860161,10029,SACC,"SCAN-Harbor, Inc.",77,0,0,77,0,40.793035,-73.951818,92.39999999999999,459.7402597402597,15.4,7.7,11.549999999999999,15.4,459.7402597402597,659.7402597402597,1259.7402597402597
774636,10033,GFDC,"Ramirez De Paulino, Antonia",16,12,0,4,12,40.852559,-73.933154,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
368551,10470,GFDC,"Khan, Bibi",16,12,0,4,12,40.903516,-73.853622,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
853035,10451,FDC,"Washington, Quayahna",8,6,0,2,6,40.822194,-73.91239,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
671714,10466,GFDC,COLORFUL SUNBURST INC.,16,12,0,4,12,40.889837,-73.831954,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
824922,10303,GFDC,"Glory Keem & Sky Group Family Day Care, LLC",16,12,0,4,12,40.631946,-74.151345,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
593803,10469,GFDC,J & D Tender Daycare Inc.,16,12,0,4,12,40.876002,-73.858896,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
709773,11225,SACC,"New York Edge, Inc.",288,0,0,288,0,40.663881,-73.948373,212.0,269.44444444444446,57.6,28.8,43.199999999999996,57.6,269.44444444444446,469.44444444444446,1069.4444444444443
232581,10465,SACC,"KIPS BAY BOYS' CLUB, INC.",200,0,0,200,0,40.821213,-73.825745,240.0,300.0,40.0,20.0,30.0,40.0,300.0,500.0,1100.0
629294,10452,GFDC,M & M 24HR DAYCARE INC,16,12,0,4,12,40.831057,-73.921963,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
72052,11225,GFDC,"Forbes, Beverley",16,12,0,4,12,40.661967,-73.960425,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
725643,10456,GFDC,Happy Jungle Day Care Inc,16,12,0,4,12,40.825997,-73.907222,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
786035,10453,GFDC,Sweet Kids Group Family Day Care Corp.,14,12,0,2,12,40.847764,-73.911001,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
527438,10460,GFDC,"Sanchez, Rafael",16,12,0,4,12,40.841252,-73.890454,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
819527,10469,GFDC,THE LITTLE HOUSE OF THE DREAMS DAYCARE CORP,16,12,0,4,12,40.867416,-73.851279,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
245090,11218,GFDC,Elemental Arts Daycare Center Inc.,16,12,0,4,12,40.640515,-73.9664,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
59615,11205,FDC,"Disla, America",8,6,0,2,6,40.691715,-73.970174,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
693176,10451,GFDC,"Fleary, Yudith",16,12,0,4,12,40.813154,-73.925272,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
115986,10033,GFDC,RAINBOW ROOM DAY CARE,16,12,0,4,12,40.85149,-73.93702,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
848494,11691,GFDC,Stepping Stones Group Family DayCare,16,12,0,4,12,40.596268,-73.774649,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
851783,11694,SACC,"Harriman Summer Camp S-11, Inc",39,0,0,39,0,40.576555,-73.854043,46.8,712.8205128205128,7.800000000000001,3.9000000000000004,5.85,7.800000000000001,712.8205128205128,912.8205128205128,1512.820512820513
876491,10453,FDC,"Corporan, Katelyn",8,6,0,2,6,40.853237,-73.909183,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
189651,11385,GFDC,"Cubero, Bella",14,12,0,2,12,40.711363,-73.906321,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
269754,10033,GFDC,"Rodriguez, Aylin",14,12,0,2,12,40.849668,-73.937728,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
434713,10456,GFDC,The Fragile Begins,14,12,0,2,12,40.836271,-73.902447,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
