zipcode,pop_0_5,pop_6_12,pop_0_12,avg_income,employment_rate,num_facilities,total_slots,under5_slots,num_candidate_sites,income_imputed,employment_imputed,is_high_demand,demand_ratio,min_total_slots,min_u5_slots,is_desert,u5_deficit,total_gap,u5_gap
11234,4665,7920,12585,69030.64861012118,0.4677914110429448,74,2870,720,100,False,False,False,0.3333333333333333,4196,3110,True,True,1326,2390
11235,4313,5564,9877,60106.056890632666,0.4909171893245374,39,1753,330,100,False,False,False,0.3333333333333333,3293,2876,True,True,1540,2546
11236,5712,9275,14987,53505.434782608696,0.4596231090505785,123,4600,1126,100,False,False,True,0.5,7494,3808,True,True,2894,2682
11237,2014,2802,4816,49178.7542662116,0.496789097768264,26,1469,192,100,False,False,True,0.5,2409,1343,True,True,940,1151
11238,4452,3258,7710,91554.80984340044,0.5390459455269007,32,2010,228,100,False,False,False,0.3333333333333333,2571,2968,True,True,561,2740
11239,487,1374,1861,46691.17647058824,0.4854831032841504,16,802,110,100,False,False,True,0.5,931,325,True,True,129,215
11249,4774,4836,9610,61197.28128267689,0.4766521247374374,10,315,96,100,True,True,True,0.5,4806,3183,True,True,4491,3087
11354,2484,2765,5249,45820.251177394035,0.5967660339884956,18,1253,102,100,False,False,True,0.5,2625,1656,True,True,1372,1554
11355,3814,5224,9038,36375.873795579064,0.6658280394993396,34,3453,154,100,False,False,True,0.5,4520,2543,True,True,1067,2389
11356,2049,2258,4307,47101.851851851854,0.4885639837869137,17,882,150,100,False,False,True,0.5,2154,1366,True,True,1272,1216
11357,2193,3760,5953,74928.46924177397,0.4900448681996635,13,1087,72,100,False,False,False,0.3333333333333333,1985,1462,True,True,898,1390
11358,2023,2827,4850,59587.37864077671,0.5471883549818046,14,679,132,100,False,False,True,0.5,2426,1349,True,True,1747,1217
11360,859,999,1858,88817.0731707317,0.5198032354581875,4,485,24,100,False,False,False,0.3333333333333333,620,573,True,True,135,549
11361,1723,2176,3899,69375.86926286509,0.4867316544814514,18,1501,144,100,False,False,False,0.3333333333333333,1300,1149,False,True,0,1005
11362,626,1163,1789,80604.3956043956,0.4938673613372408,7,349,48,100,False,False,False,0.3333333333333333,597,418,True,True,248,370
11363,334,797,1131,89290.83094555873,0.4738628649015614,6,226,75,100,False,False,False,0.3333333333333333,378,223,True,True,152,148
11364,1901,3497,5398,71153.84615384616,0.4876193473927185,16,1330,60,100,False,False,False,0.3333333333333333,1800,1268,True,True,470,1208
11365,2904,3918,6822,59569.00401965163,0.4822936412200586,20,1306,162,100,False,False,True,0.5,3412,1936,True,True,2106,1774
11366,832,971,1803,69285.71428571429,0.5124826121970861,14,587,144,100,False,False,False,0.3333333333333333,602,555,True,True,15,411
11367,3814,4094,7908,58402.06185567011,0.4481818601857413,60,2205,606,100,False,False,True,0.5,3955,2543,True,True,1750,1937
11368,7894,11346,19240,37360.08394963022,0.4437250554323725,61,3057,502,100,False,False,True,0.5,9621,5263,True,True,6564,4761
11369,1428,2586,4014,45303.27428878153,0.5789849892780558,55,1444,592,100,False,False,True,0.5,2008,952,True,True,564,360
11370,1279,1871,3150,52810.492505353315,0.4974435449510013,15,232,174,100,False,False,True,0.5,1576,853,True,True,1344,679
11372,3806,5533,9339,55456.262714327226,0.5135744242623245,28,1767,232,100,False,False,True,0.5,4670,2538,True,True,2903,2306
11373,5489,9062,14551,43863.54943583859,0.5095597263637959,33,3358,246,100,False,False,True,0.5,7276,3660,True,True,3918,3414
11374,2728,3703,6431,68042.50320375909,0.4956595384289646,33,1851,268,100,False,False,False,0.3333333333333333,2144,1819,True,True,293,1551
11375,4351,5816,10167,89112.78837937908,0.4668138063075041,30,1377,262,100,False,False,False,0.3333333333333333,3390,2901,True,True,2013,2639
11377,5206,6626,11832,52190.35698737484,0.5281856122883061,30,3046,174,100,False,False,True,0.5,5917,3471,True,True,2871,3297
11378,2367,3155,5522,60131.43483023002,0.4652229299363057,7,632,36,100,False,False,False,0.3333333333333333,1841,1578,True,True,1209,1542
11379,1687,3294,4981,72842.22100054976,0.4754188337994302,14,1618,106,100,False,False,False,0.3333333333333333,1661,1125,True,True,43,1019
11385,6027,8551,14578,56635.8024691358,0.4682480264591882,65,2974,610,100,False,False,True,0.5,7290,4018,True,True,4316,3408
11411,922,1359,2281,61994.70644850818,0.487130198321534,21,745,192,100,False,False,False,0.3333333333333333,761,615,True,True,16,423
11412,2110,3033,5143,53815.85743801653,0.4769295198679575,47,1674,418,100,False,False,True,0.5,2572,1407,True,True,898,989
11413,2123,3731,5854,58580.26131591227,0.4780067808708065,59,2309,556,100,False,False,True,0.5,2928,1416,True,True,619,860
11414,2164,2835,4999,76196.70905011219,0.44017910054652,13,828,114,100,False,False,False,0.3333333333333333,1667,1443,True,True,839,1329
11415,1176,1513,2689,71841.82590233546,0.4636967757814423,5,63,47,100,False,False,False,0.3333333333333333,897,784,True,True,834,737
11416,1734,2647,4381,44281.6091954023,0.4695257969345902,22,577,234,100,False,False,True,0.5,2191,1156,True,True,1614,922
11417,2023,3265,5288,53020.833333333336,0.5,23,838,234,100,False,False,True,0.5,2645,1349,True,True,1807,1115
11418,2366,3365,5731,50623.98263700488,0.4809875512174753,30,1594,294,100,False,False,True,0.5,2866,1578,True,True,1272,1284
11419,1957,3411,5368,43174.27790788446,0.5326846307385229,27,1090,276,100,False,False,True,0.5,2685,1305,True,True,1595,1029
11420,2487,3504,5991,50056.352459016394,0.4770003714347154,45,1895,414,100,False,False,True,0.5,2996,1658,True,True,1101,1244
11421,2399,3280,5679,48021.92564346997,0.504909510974201,39,1294,420,100,False,False,True,0.5,2840,1600,True,True,1546,1180
11422,1301,2648,3949,58648.52398523985,0.5034679217240525,48,1173,492,100,False,False,True,0.5,1975,868,True,True,802,376
11423,1260,2297,3557,54796.32063074902,0.50867283847465,15,489,148,100,False,False,True,0.5,1779,840,True,True,1290,692
11426,1244,1263,2507,70276.31578947368,0.4814270511326204,7,711,48,100,False,False,False,0.3333333333333333,836,830,True,True,125,782
11427,1840,1667,3507,65363.48267117498,0.4696867431611545,6,191,54,100,False,False,False,0.3333333333333333,1170,1227,True,True,979,1173
11428,975,1136,2111,56970.91273821464,0.5098701033036719,11,545,96,100,False,False,True,0.5,1056,650,True,True,511,554
11429,1097,1924,3021,52782.012195121955,0.4711797450170587,22,357,224,100,False,False,True,0.5,1511,732,True,True,1154,508
11430,0,37,37,61197.28128267689,0.4766521247374374,0,0,0,100,True,True,True,0.5,19,0,True,False,19,0
11432,4178,5232,9410,53037.4246186591,0.4386319785896558,19,1232,132,100,False,False,True,0.5,4706,2786,True,True,3474,2654
11433,2837,3679,6516,44920.749279538904,0.4464170847806509,30,2089,228,100,False,False,True,0.5,3259,1892,True,True,1170,1664
11434,4219,6471,10690,52329.7354819094,0.4823853803056525,89,3225,851,100,False,False,True,0.5,5346,2813,True,True,2121,1962
11435,4837,5084,9921,51125.46125461255,0.4519604409532863,33,1759,252,100,False,False,True,0.5,4961,3225,True,True,3202,2973
11436,912,1939,2851,49839.10891089109,0.4730900744765562,17,256,198,100,False,False,True,0.5,1426,608,True,True,1170,410
11691,6048,8574,14622,47078.33904109589,0.3319832302991544,79,2880,725,100,False,False,True,0.5,7312,4032,True,True,4432,3307
11692,1708,3201,4909,50110.01100110011,0.369752684672958,30,902,290,100,False,False,True,0.5,2455,1139,True,True,1553,849
11693,681,1096,1777,61620.92624356775,0.4300044254314795,4,328,12,100,False,False,False,0.3333333333333333,593,454,True,True,265,442
11694,1366,2103,3469,84441.93912063134,0.4071048283458784,8,752,30,100,False,False,False,0.3333333333333333,1157,911,True,True,405,881
11697,230,317,547,100870.90163934426,0.6183476938672073,0,0,0,100,False,False,True,0.5,274,154,True,True,274,154
