location_id,zipcode,latitude,longitude,size,total_slots,under5_slots,build_cost,equip_cost,total_cost
11446,11226.0,40.64739120584867,-73.96001452018203,L,400,200,115000,20000,135000
11464,11226.0,40.653124126729075,-73.96217397353881,M,200,100,95000,10000,105000
11466,11226.0,40.638492362894624,-73.95592037552059,L,400,200,115000,20000,135000
11478,11226.0,40.65419383734983,-73.95041685832463,L,400,200,115000,20000,135000
11482,11226.0,40.654100872633805,-73.95341582834644,L,400,200,115000,20000,135000
11485,11226.0,40.65639934025016,-73.96237119476322,L,400,200,115000,20000,135000
11488,11226.0,40.641266451777625,-73.95518420241883,L,400,200,115000,20000,135000
11492,11226.0,40.654475087896245,-73.95151556291219,L,400,200,115000,20000,135000
11495,11226.0,40.65162771523091,-73.95561596030983,L,400,200,115000,20000,135000
11500,11228.0,40.61198524376475,-74.00873411821277,L,400,200,115000,20000,135000
11505,11228.0,40.61576813944338,-74.01841538617832,L,400,200,115000,20000,135000
11511,11228.0,40.619375649368365,-74.00281905704027,L,400,200,115000,20000,135000
11515,11228.0,40.61780223950912,-74.02193978129988,S,100,50,65000,5000,70000
11535,11228.0,40.61074275374918,-74.00846102021919,L,400,200,115000,20000,135000
11548,11228.0,40.61207381343148,-74.01105977685191,L,400,200,115000,20000,135000
11563,11228.0,40.61841525381777,-74.01308078763132,L,400,200,115000,20000,135000
11572,11228.0,40.60956137801431,-74.0176592171804,L,400,200,115000,20000,135000
11601,11229.0,40.59420110239793,-73.9511647770286,L,400,200,115000,20000,135000
11605,11229.0,40.60959968734924,-73.93923474277776,L,400,200,115000,20000,135000
11611,11229.0,40.59804885423595,-73.939429332755,L,400,200,115000,20000,135000
11619,11229.0,40.606871608254075,-73.95319048434153,L,400,200,115000,20000,135000
11622,11229.0,40.591439293055785,-73.95190402920576,M,200,100,95000,10000,105000
11624,11229.0,40.59484080316578,-73.94718394109104,L,400,200,115000,20000,135000
11626,11229.0,40.608449416652135,-73.94151868657532,L,400,200,115000,20000,135000
11631,11229.0,40.60462803636707,-73.95135610727093,L,400,200,115000,20000,135000
11636,11229.0,40.596779707980616,-73.93793456982381,L,400,200,115000,20000,135000
11641,11229.0,40.60517382997775,-73.9551719227545,L,400,200,115000,20000,135000
11648,11229.0,40.60298353327928,-73.9484430475866,L,400,200,115000,20000,135000
11653,11229.0,40.60935739213279,-73.94476162125359,L,400,200,115000,20000,135000
11671,11229.0,40.604223810440836,-73.94291253171443,L,400,200,115000,20000,135000
11677,11229.0,40.59703222677875,-73.95688429101746,L,400,200,115000,20000,135000
11687,11229.0,40.60856095847707,-73.94677486412986,L,400,200,115000,20000,135000
11701,11230.0,40.62691664753183,-73.96239208416009,L,400,200,115000,20000,135000
11709,11230.0,40.61579258423532,-73.96616951663982,L,400,200,115000,20000,135000
11710,11230.0,40.62599309407021,-73.958521726839,L,400,200,115000,20000,135000
11711,11230.0,40.614070130557174,-73.96310596678545,L,400,200,115000,20000,135000
11719,11230.0,40.62346788368798,-73.9713479724047,L,400,200,115000,20000,135000
11720,11230.0,40.62261104563441,-73.97435785248322,L,400,200,115000,20000,135000
11722,11230.0,40.62909696921216,-73.96864342911421,L,400,200,115000,20000,135000
11727,11230.0,40.6300510304584,-73.96905031450495,L,400,200,115000,20000,135000
11729,11230.0,40.63170787137666,-73.9616851191615,L,400,200,115000,20000,135000
11730,11230.0,40.61996651232635,-73.96222436003293,L,400,200,115000,20000,135000
11739,11230.0,40.63029926175761,-73.97038764769778,L,400,200,115000,20000,135000
11750,11230.0,40.62474367301323,-73.96585692942699,L,400,200,115000,20000,135000
11752,11230.0,40.63088726686708,-73.96861233636321,L,400,200,115000,20000,135000
11757,11230.0,40.627500997735794,-73.957144497631,L,400,200,115000,20000,135000
11761,11230.0,40.6155807308199,-73.97011911990657,L,400,200,115000,20000,135000
11764,11230.0,40.61489126190646,-73.9664244441006,L,400,200,115000,20000,135000
11766,11230.0,40.62344864208391,-73.95675614275366,L,400,200,115000,20000,135000
