zipcode,pop_0_5,pop_0_12,is_high_demand,total_slots,under5_slots,min_total_slots,min_u5_slots,total_gap,u5_gap,is_desert,u5_deficit,n_expanded,slots_from_expansion,expansion_cost,n_new_facilities,slots_from_new,u5_from_new,new_build_cost
11369,1428,4014,True,1444,592,2008,952,564,360,True,True,0.0,0.0,0.0,2,800,400,270000
11370,1279,3150,True,232,174,1576,853,1344,679,True,True,0.0,0.0,0.0,4,1400,700,510000
11372,3806,9339,True,1767,232,4670,2538,2903,2306,True,True,5.0,6.8,11360.0,12,4600,2300,1590000
11373,5489,14551,True,3358,246,7276,3660,3918,3414,True,True,12.0,18.6666667,27066.666715,17,6800,3400,2295000
11374,2728,6431,False,1851,268,2144,1819,293,1551,True,True,0.0,0.0,0.0,8,3200,1600,1080000
11375,4351,10167,False,1377,262,3390,2901,2013,2639,True,True,0.0,0.0,0.0,14,5300,2650,1825000
11377,5206,11832,True,3046,174,5917,3471,2871,3297,True,True,0.0,0.0,0.0,17,6600,3300,2265000
11378,2367,5522,False,632,36,1841,1578,1209,1542,True,True,0.0,0.0,0.0,8,3200,1600,1080000
11379,1687,4981,False,1618,106,1661,1125,43,1019,True,True,9.0,24.66666667,41820.0000075,5,2000,1000,675000
11385,6027,14578,True,2974,610,7290,4018,4316,3408,True,True,7.0,10.2666667,15386.666715000001,17,6800,3400,2295000
11411,922,2281,False,745,192,761,615,16,423,True,True,16.0,30.66666667,45480.0000055,2,800,400,270000
11412,2110,5143,True,1674,418,2572,1407,898,989,True,True,0.0,0.0,0.0,5,2000,1000,675000
11413,2123,5854,True,2309,556,2928,1416,619,860,True,True,9.0,12.33333333,19133.3333285,5,1700,850,610000
11414,2164,4999,False,828,114,1667,1443,839,1329,True,True,0.0,0.0,0.0,7,2800,1400,945000
11415,1176,2689,False,63,47,897,784,834,737,True,True,0.0,0.0,0.0,4,1600,800,540000
11416,1734,4381,True,577,234,2191,1156,1614,922,True,True,0.0,0.0,0.0,5,2000,1000,675000
11417,2023,5288,True,838,234,2645,1349,1807,1115,True,True,13.0,19.8,28960.0,6,2200,1100,780000
11418,2366,5731,True,1594,294,2866,1578,1272,1284,True,True,0.0,0.0,0.0,7,2600,1300,915000
11419,1957,5368,True,1090,276,2685,1305,1595,1029,True,True,22.0,38.066666670000004,56600.0000055,5,2000,1000,675000
11420,2487,5991,True,1895,414,2996,1658,1101,1244,True,True,0.0,0.0,0.0,7,2500,1250,880000
11421,2399,5679,True,1294,420,2840,1600,1546,1180,True,True,0.0,0.0,0.0,6,2400,1200,810000
11422,1301,3949,True,1173,492,1975,868,802,376,True,True,1.0,2.0,600.0,2,800,400,270000
11423,1260,3557,True,489,148,1779,840,1290,692,True,True,0.0,0.0,0.0,4,1400,700,510000
11426,1244,2507,False,711,48,836,830,125,782,True,True,0.0,0.0,0.0,4,1600,800,540000
11427,1840,3507,False,191,54,1170,1227,979,1173,True,True,0.0,0.0,0.0,6,2400,1200,810000
11428,975,2111,True,545,96,1056,650,511,554,True,True,0.0,0.0,0.0,3,1200,600,405000
11429,1097,3021,True,357,224,1511,732,1154,508,True,True,0.0,0.0,0.0,3,1200,600,405000
11430,0,37,True,0,0,19,0,19,0,True,False,0.0,0.0,0.0,1,100,50,70000
11432,4178,9410,True,1232,132,4706,2786,3474,2654,True,True,4.0,5.33333333,7733.3333285,14,5300,2650,1825000
11433,2837,6516,True,2089,228,3259,1892,1170,1664,True,True,12.0,18.266666700000002,26986.666715,9,3300,1650,1150000
11434,4219,10690,True,3225,851,5346,2813,2121,1962,True,True,0.0,0.0,0.0,10,4000,2000,1350000
11435,4837,9921,True,1759,252,4961,3225,3202,2973,True,True,0.0,0.0,0.0,15,6000,3000,2025000
11436,912,2851,True,256,198,1426,608,1170,410,True,True,0.0,0.0,0.0,3,1200,600,405000
11691,6048,14622,True,2880,725,7312,4032,4432,3307,True,True,6.0,8.3333333,13333.333285000002,17,6600,3300,2265000
11692,1708,4909,True,902,290,2455,1139,1553,849,True,True,0.0,0.0,0.0,5,1700,850,610000
11693,681,1777,False,328,12,593,454,265,442,True,True,0.0,0.0,0.0,3,900,450,340000
11694,1366,3469,False,752,30,1157,911,405,881,True,True,0.0,0.0,0.0,5,1800,900,645000
11697,230,547,True,0,0,274,154,274,154,True,True,0.0,0.0,0.0,1,400,200,135000
