zipcode,status,objective_value,expansion_cost,u5_expansion_equip,build_cost,u5_new_equip,expansion_slots,u5_expansion_slots,new_small,new_medium,new_large,new_total_slots,new_u5_slots,total_gap,u5_gap,is_high_demand,is_desert,pop_0_12,pop_0_5,current_total_slots,current_u5_slots,min_total_slots,min_u5_slots,req_total_gap,req_u5_gap
11213,OPTIMAL,1588993.7681,717093.77,196900.0,575000.0,100000.0,1969.0,1969.0,0,0,5,2000.0,1000.0,3555,2969,True,True,11394,4835,2143,255,5698,3224,3555,2969
11214,OPTIMAL,1847399.7459,486999.75,145400.0,1035000.0,180000.0,1454.0,1454.0,0,0,9,3600.0,1800.0,4185,3254,True,True,13364,5230,2498,233,6683,3487,4185,3254
11215,OPTIMAL,1389501.2506,750701.25,233800.0,345000.0,60000.0,2338.0,2338.0,0,0,3,1200.0,600.0,943,2938,False,True,12203,5712,3125,870,4068,3808,943,2938
11216,OPTIMAL,943714.2857,641914.29,166800.0,115000.0,20000.0,1668.0,1668.0,0,0,1,400.0,200.0,613,1868,False,True,7170,3107,1778,204,2391,2072,613,1868
11217,OPTIMAL,1271446.6667,354946.67,106500.0,690000.0,120000.0,1066.4,1065.0,0,0,6,2400.0,1200.0,853,2265,False,True,6107,3694,1183,198,2036,2463,853,2265
11218,OPTIMAL,1473096.5185,506096.52,157000.0,690000.0,120000.0,1570.0,1570.0,0,0,6,2400.0,1200.0,1322,2770,False,True,13224,4931,3087,518,4409,3288,1322,2770
11219,OPTIMAL,4419719.1633,377519.16,127200.0,3335000.0,580000.0,1272.0,1272.0,0,0,29,11600.0,5800.0,10779,7072,True,True,26747,12125,2595,1012,13374,8084,10779,7072
11220,OPTIMAL,2087630.572,246730.57,85900.0,1495000.0,260000.0,893.0,859.0,0,0,13,5200.0,2600.0,6093,3459,True,True,16687,5782,2251,396,8344,3855,6093,3459
11221,OPTIMAL,1152602.3299,686302.33,196300.0,230000.0,40000.0,1963.0,1963.0,0,0,2,800.0,400.0,2586,2363,True,True,11113,4616,2971,715,5557,3078,2586,2363
11222,OPTIMAL,908292.9825,177592.98,55700.0,575000.0,100000.0,557.0,557.0,0,0,5,2000.0,1000.0,757,1557,False,True,4286,2443,672,72,1429,1629,757,1557
11223,OPTIMAL,2602704.6636,334304.66,108400.0,1840000.0,320000.0,1084.0,1084.0,0,0,16,6400.0,3200.0,6293,4284,True,True,15480,6642,1448,144,7741,4428,6293,4284
11224,OPTIMAL,762948.7603,275348.76,82600.0,345000.0,60000.0,826.0,826.0,0,0,3,1200.0,600.0,1942,1426,True,True,6213,2274,1165,90,3107,1516,1942,1426
